d,noise_model,noise,chi,shots,fails,error_rate,ci_low,ci_high,reached_nfail,cpu_seconds
9,depolarize,0.16,6,713500,59469,0.0833483,0.0827092,0.0839919,1,195843.1
9,depolarize,0.165,6,663500,63403,0.0955584,0.0948533,0.0962681,1,180213.6
9,depolarize,0.17,6,713500,77692,0.108889,0.108168,0.109613,1,193337.2
9,depolarize,0.175,6,763500,93954,0.123057,0.122322,0.123796,1,204889.4
9,depolarize,0.18,6,613500,84755,0.13815,0.137289,0.139016,1,168531.9
9,depolarize,0.185,6,613500,93499,0.152403,0.151505,0.153304,1,167502.6
9,depolarize,0.19,6,613500,103214,0.168238,0.167304,0.169176,1,167986.3
9,depolarize,0.195,6,563500,104228,0.184965,0.183954,0.185981,1,153522.5
9,depolarize,0.2,6,613500,123384,0.201115,0.200114,0.20212,1,168370.8
