d,noise_model,noise,chi,shots,fails,error_rate,ci_low,ci_high,reached_nfail,cpu_seconds
13,depolarize,0.16,6,863500,58369,0.0675958,0.0670682,0.0681273,1,282443.4
13,depolarize,0.165,6,663500,54147,0.0816081,0.0809518,0.0822693,1,217018.7
13,depolarize,0.17,6,713500,69313,0.0971451,0.09646,0.0978344,1,234284.9
13,depolarize,0.175,6,763500,86806,0.113695,0.112985,0.114409,1,249695.9
13,depolarize,0.18,6,663500,87932,0.132528,0.131714,0.133345,1,219807.6
13,depolarize,0.185,6,613500,92876,0.151387,0.150492,0.152286,1,206747.6
13,depolarize,0.19,6,563500,96393,0.171061,0.17008,0.172047,1,192657.1
13,depolarize,0.195,6,563500,109306,0.193977,0.192947,0.195011,1,190182.4
13,depolarize,0.2,6,613500,132075,0.215281,0.214254,0.216311,1,203620.4
