d,noise_model,noise,chi,shots,fails,error_rate,ci_low,ci_high,reached_nfail,cpu_seconds
17,bit-flip,0.08,6,363500,8974,0.0246878,0.0241883,0.0251973,1,447640.8
17,bit-flip,0.085,6,363500,13700,0.0376891,0.0370749,0.0383131,1,444088.1
17,bit-flip,0.09,6,363500,19918,0.054795,0.0540599,0.0555396,1,434163.5
17,bit-flip,0.095,6,363500,27849,0.0766135,0.0757533,0.0774826,1,437579.2
17,bit-flip,0.1,6,363500,36913,0.101549,0.100571,0.102535,1,438269.5
17,bit-flip,0.105,6,363500,48008,0.132072,0.130975,0.133176,1,432616.7
17,bit-flip,0.11,6,363500,59765,0.164415,0.163214,0.165624,1,434917.6
17,bit-flip,0.115,6,363500,72503,0.199458,0.198162,0.20076,1,432001.1
17,bit-flip,0.12,6,363500,84468,0.232374,0.231004,0.23375,1,441425.9
