d,noise_model,noise,chi,shots,fails,error_rate,ci_low,ci_high,reached_nfail,cpu_seconds
9,bit-flip,0.08,6,1113500,58035,0.0521194,0.0517081,0.0525338,1,305242.7
9,bit-flip,0.085,6,813500,53819,0.0661573,0.0656193,0.0666995,1,222696.2
9,bit-flip,0.09,6,713500,58824,0.0824443,0.0818083,0.0830847,1,194566.0
9,bit-flip,0.095,6,713500,71739,0.100545,0.0998496,0.101245,1,194284.0
9,bit-flip,0.1,6,663500,79343,0.119583,0.118804,0.120365,1,178760.8
9,bit-flip,0.105,6,613500,86227,0.140549,0.139682,0.141421,1,165784.9
9,bit-flip,0.11,6,563500,91462,0.162311,0.16135,0.163276,1,154039.3
9,bit-flip,0.115,6,563500,103793,0.184193,0.183183,0.185208,1,152390.3
9,bit-flip,0.12,6,563500,116431,0.206621,0.205566,0.20768,1,158043.6
