d,noise_model,noise,chi,shots,fails,error_rate,ci_low,ci_high,reached_nfail,cpu_seconds
25,depolarize,0.16,6,31500,1414,0.0448889,0.0426572,0.0472316,1,84236.7
25,depolarize,0.165,6,63500,3927,0.0618425,0.0599954,0.0637426,1,170730.7
25,depolarize,0.17,6,63500,5349,0.0842362,0.082101,0.0864217,1,169812.6
25,depolarize,0.175,6,31500,3662,0.116254,0.112761,0.119841,1,84215.5
25,depolarize,0.18,6,31500,4923,0.156286,0.152318,0.160338,1,83786.5
25,depolarize,0.185,6,31500,6269,0.199016,0.194644,0.203462,1,84799.6
25,depolarize,0.19,6,63500,16313,0.256898,0.253514,0.260311,1,169813.8
25,depolarize,0.195,6,63500,20073,0.31611,0.312505,0.319738,1,169641.2
25,depolarize,0.2,6,31500,11573,0.367397,0.362089,0.372737,1,85085.4
