d,noise_model,noise,chi,chunk_id,shots,fails,seconds,host,pid
9,depolarize,0.2,6,0,500,86,134.1005689315498,GPA-2-13,2770772
9,depolarize,0.195,6,0,500,88,134.21286510769278,GPA-2-13,2770766
9,depolarize,0.18,6,0,500,59,134.3634114600718,GPA-2-13,2770783
9,depolarize,0.16,6,0,500,46,135.43494850676507,GPA-2-13,2770764
9,depolarize,0.165,6,0,500,42,135.83335604146123,GPA-2-13,2770765
9,depolarize,0.17,6,0,500,58,136.3139865733683,GPA-2-13,2770769
9,depolarize,0.185,6,0,500,64,136.72031681519002,GPA-2-13,2770763
9,depolarize,0.19,6,0,500,91,137.03822586219758,GPA-2-13,2770760
9,depolarize,0.175,6,0,500,71,137.3325935471803,GPA-2-13,2770774
9,depolarize,0.175,6,1,1000,114,263.18156343884766,GPA-2-13,2770767
9,depolarize,0.2,6,1,1000,205,265.434158237651,GPA-2-13,2770793
9,depolarize,0.18,6,1,1000,128,265.6716767437756,GPA-2-13,2770776
9,depolarize,0.16,6,1,1000,71,265.87212402001023,GPA-2-13,2770771
9,depolarize,0.17,6,1,1000,104,269.1355040650815,GPA-2-13,2770775
9,depolarize,0.19,6,1,1000,160,269.4311442738399,GPA-2-13,2770770
9,depolarize,0.195,6,1,1000,194,271.07475717924535,GPA-2-13,2770773
9,depolarize,0.165,6,1,1000,92,273.5798855163157,GPA-2-13,2770779
9,depolarize,0.185,6,1,1000,157,277.17823344655335,GPA-2-13,2770789
9,depolarize,0.16,6,2,2000,172,524.6283236360177,GPA-2-13,2770768
9,depolarize,0.19,6,2,2000,347,526.543764158152,GPA-2-13,2770778
9,depolarize,0.185,6,2,2000,314,534.4093566928059,GPA-2-13,2770782
9,depolarize,0.165,6,2,2000,190,535.0267904680222,GPA-2-13,2770787
9,depolarize,0.17,6,2,2000,220,538.1901791309938,GPA-2-13,2770792
9,depolarize,0.195,6,2,2000,347,541.4926907978952,GPA-2-13,2770790
9,depolarize,0.18,6,2,2000,270,543.1645381273702,GPA-2-13,2770777
9,depolarize,0.175,6,2,2000,252,547.4316334286705,GPA-2-13,2770785
9,depolarize,0.2,6,2,2000,365,553.2024950683117,GPA-2-13,2770803
9,depolarize,0.195,6,3,4000,754,1052.6553239822388,GPA-2-13,2770798
9,depolarize,0.175,6,3,4000,494,1055.5490196226165,GPA-2-13,2770786
9,depolarize,0.165,6,3,4000,396,1057.4119061026722,GPA-2-13,2770788
9,depolarize,0.17,6,3,4000,445,1073.3915316518396,GPA-2-13,2770780
9,depolarize,0.16,6,3,4000,337,1078.924807303585,GPA-2-13,2770781
9,depolarize,0.18,6,3,4000,548,1081.3007520856336,GPA-2-13,2770795
9,depolarize,0.185,6,3,4000,603,1087.026517789811,GPA-2-13,2770794
9,depolarize,0.2,6,3,4000,815,1087.7914142366499,GPA-2-13,2770796
9,depolarize,0.19,6,3,4000,674,1091.834477186203,GPA-2-13,2770809
9,depolarize,0.165,6,4,8000,769,2101.87678230647,GPA-2-13,2770799
9,depolarize,0.19,6,4,8000,1304,2144.1685172757134,GPA-2-13,2770800
9,depolarize,0.16,6,4,8000,684,2153.5859057223424,GPA-2-13,2770807
9,depolarize,0.195,6,4,8000,1454,2159.780782544054,GPA-2-13,2770804
9,depolarize,0.17,6,4,8000,889,2162.184903740883,GPA-2-13,2770812
9,depolarize,0.175,6,4,8000,968,2171.2271258868277,GPA-2-13,2770808
9,depolarize,0.2,6,4,8000,1556,2178.356023539789,GPA-2-13,2770784
9,depolarize,0.185,6,4,8000,1155,2179.366743461229,GPA-2-13,2770802
9,depolarize,0.18,6,4,8000,1097,2182.5220266738907,GPA-2-13,2770806
9,depolarize,0.2,6,5,16000,3081,4238.43320063781,GPA-2-13,2770801
9,depolarize,0.19,6,5,16000,2600,4263.1031496133655,GPA-2-13,2770817
9,depolarize,0.175,6,5,16000,2059,4265.481871294789,GPA-2-13,2770813
9,depolarize,0.165,6,5,16000,1452,4275.963217472658,GPA-2-13,2770791
9,depolarize,0.17,6,5,16000,1771,4285.352148827165,GPA-2-13,2770815
9,depolarize,0.16,6,5,16000,1337,4295.252644875087,GPA-2-13,2770797
9,depolarize,0.18,6,5,16000,2189,4301.85369200632,GPA-2-13,2770821
9,depolarize,0.185,6,5,16000,2397,4320.572521612048,GPA-2-13,2770823
9,depolarize,0.195,6,5,16000,2928,4739.625006342307,GPA-2-13,2770805
9,depolarize,0.2,6,6,32000,6412,8531.818927596323,GPA-2-13,2770820
9,depolarize,0.19,6,6,32000,5389,8623.790793452412,GPA-2-13,2770811
9,depolarize,0.18,6,6,32000,4427,8639.913395792246,GPA-2-13,2770814
9,depolarize,0.16,6,6,32000,2704,8648.347411273047,GPA-2-13,2770818
9,depolarize,0.195,6,6,32000,5964,8655.816010531038,GPA-2-13,2770825
9,depolarize,0.185,6,6,32000,4916,8661.461854977533,GPA-2-13,2770810
9,depolarize,0.17,6,6,32000,3510,8687.2224353645,GPA-2-13,2770822
9,depolarize,0.175,6,6,32000,3888,8704.400791090913,GPA-2-13,2770824
9,depolarize,0.165,6,6,32000,3080,8823.676521048881,GPA-2-13,2770819
9,depolarize,0.175,6,7,50000,6075,13331.775578655303,GPA-2-13,2770783
9,depolarize,0.16,6,7,50000,4084,13615.014938546345,GPA-2-13,2770816
9,depolarize,0.17,6,7,50000,5269,13510.067621096969,GPA-2-13,2770766
9,depolarize,0.165,6,8,50000,4798,13385.904204873368,GPA-2-13,2770767
9,depolarize,0.165,6,7,50000,4767,13530.845261297189,GPA-2-13,2770772
9,depolarize,0.185,6,7,50000,7597,13550.335985935293,GPA-2-13,2770765
9,depolarize,0.195,6,7,50000,9216,13568.901279378682,GPA-2-13,2770763
9,depolarize,0.17,6,8,50000,5424,13556.605014286004,GPA-2-13,2770793
9,depolarize,0.185,6,9,50000,7587,13328.541166027077,GPA-2-13,2770792
9,depolarize,0.16,6,8,50000,4159,13769.85529088974,GPA-2-13,2770774
9,depolarize,0.195,6,8,50000,9261,13660.936688638292,GPA-2-13,2770773
9,depolarize,0.165,6,9,50000,4735,13504.312296615914,GPA-2-13,2770768
9,depolarize,0.195,6,9,50000,9329,13486.20788396243,GPA-2-13,2770777
9,depolarize,0.19,6,9,50000,8372,13503.513740052469,GPA-2-13,2770790
9,depolarize,0.175,6,8,50000,6285,13794.644050508738,GPA-2-13,2770776
9,depolarize,0.17,6,9,50000,5506,13539.477453136817,GPA-2-13,2770778
9,depolarize,0.175,6,9,50000,6215,13566.053816599771,GPA-2-13,2770782
9,depolarize,0.18,6,9,50000,7015,13575.339656957425,GPA-2-13,2770787
9,depolarize,0.18,6,8,50000,6909,13932.234827102162,GPA-2-13,2770771
9,depolarize,0.2,6,9,50000,10093,13675.53703528922,GPA-2-13,2770785
9,depolarize,0.16,6,10,50000,4097,13717.36975115817,GPA-2-13,2770803
9,depolarize,0.19,6,7,50000,8468,14254.620143173262,GPA-2-13,2770769
9,depolarize,0.18,6,10,50000,6835,13427.316822829656,GPA-2-13,2770780
9,depolarize,0.175,6,10,50000,6087,13449.479204902425,GPA-2-13,2770788
9,depolarize,0.2,6,7,50000,10017,14517.73688678816,GPA-2-13,2770760
9,depolarize,0.18,6,7,50000,6982,14527.80753584113,GPA-2-13,2770764
9,depolarize,0.165,6,10,50000,4716,13635.53491595108,GPA-2-13,2770798
9,depolarize,0.16,6,11,50000,4142,13602.152109535411,GPA-2-13,2770809
9,depolarize,0.195,6,10,50000,9230,13657.031434750184,GPA-2-13,2770794
9,depolarize,0.17,6,10,50000,5368,13691.8664897345,GPA-2-13,2770786
9,depolarize,0.2,6,8,50000,10045,14478.992142488249,GPA-2-13,2770779
9,depolarize,0.185,6,10,50000,7562,13803.968161816709,GPA-2-13,2770781
9,depolarize,0.19,6,10,50000,8316,13824.993986315094,GPA-2-13,2770795
9,depolarize,0.2,6,10,50000,10155,13962.51306779217,GPA-2-13,2770796
9,depolarize,0.185,6,8,50000,7599,15151.676167356782,GPA-2-13,2770775
9,depolarize,0.16,6,9,50000,4124,15224.957834644243,GPA-2-13,2770789
9,depolarize,0.19,6,8,50000,8483,15241.71201576665,GPA-2-13,2770770
9,depolarize,0.17,6,11,50000,5442,13421.475270235911,GPA-2-13,2770800
9,depolarize,0.175,6,11,50000,6167,13447.803085739724,GPA-2-13,2770807
9,depolarize,0.2,6,11,50000,10129,13531.829750763252,GPA-2-13,2770802
9,depolarize,0.18,6,11,50000,6862,13601.864848992787,GPA-2-13,2770804
9,depolarize,0.16,6,12,50000,4213,13655.07120758295,GPA-2-13,2770806
9,depolarize,0.19,6,11,50000,8364,13689.65586102847,GPA-2-13,2770808
9,depolarize,0.195,6,11,50000,9194,13704.667608650401,GPA-2-13,2770784
9,depolarize,0.185,6,11,50000,7698,14073.774221649393,GPA-2-13,2770812
9,depolarize,0.165,6,11,50000,4727,14555.801040281542,GPA-2-13,2770799
9,depolarize,0.19,6,12,50000,8432,13462.15041001048,GPA-2-13,2770797
9,depolarize,0.2,6,12,50000,10151,13439.559905976988,GPA-2-13,2770823
9,depolarize,0.185,6,12,50000,7581,13501.95417909231,GPA-2-13,2770815
9,depolarize,0.195,6,12,50000,9231,13624.539918173105,GPA-2-13,2770821
9,depolarize,0.18,6,12,50000,6908,13653.47009554226,GPA-2-13,2770791
9,depolarize,0.175,6,12,50000,6173,13750.482023055665,GPA-2-13,2770813
9,depolarize,0.17,6,12,50000,5480,13864.90378040541,GPA-2-13,2770817
9,depolarize,0.165,6,12,50000,4929,13933.477851642296,GPA-2-13,2770801
9,depolarize,0.16,6,13,50000,4117,15171.897449365817,GPA-2-13,2770805
9,depolarize,0.165,6,13,50000,4856,13348.076222064905,GPA-2-13,2770820
9,depolarize,0.175,6,13,50000,6167,13459.55537714623,GPA-2-13,2770814
9,depolarize,0.18,6,13,50000,6991,13479.263303344138,GPA-2-13,2770818
9,depolarize,0.185,6,13,50000,7677,13612.68158957176,GPA-2-13,2770825
9,depolarize,0.17,6,13,50000,5524,13648.610465252772,GPA-2-13,2770811
9,depolarize,0.19,6,13,50000,8510,13651.885834365152,GPA-2-13,2770810
9,depolarize,0.2,6,13,50000,10081,13629.186645639129,GPA-2-13,2770824
9,depolarize,0.195,6,13,50000,9295,13653.107136850245,GPA-2-13,2770822
9,depolarize,0.16,6,14,50000,4194,13772.971775752492,GPA-2-13,2770819
9,depolarize,0.165,6,14,50000,4694,13120.6997063132,GPA-2-13,2770783
9,depolarize,0.19,6,14,50000,8370,13229.07310666982,GPA-2-13,2770765
9,depolarize,0.185,6,14,50000,7623,13292.821301614866,GPA-2-13,2770772
9,depolarize,0.16,6,15,50000,4196,13106.970638077706,GPA-2-13,2770792
9,depolarize,0.175,6,14,50000,6053,13414.573216053657,GPA-2-13,2770766
9,depolarize,0.17,6,14,50000,5574,13512.418261270039,GPA-2-13,2770816
9,depolarize,0.2,6,14,50000,10168,13414.110949605703,GPA-2-13,2770793
9,depolarize,0.18,6,15,50000,6840,13214.080649769865,GPA-2-13,2770777
9,depolarize,0.195,6,14,50000,9191,13586.840764733031,GPA-2-13,2770763
9,depolarize,0.175,6,15,50000,6111,13265.654165403917,GPA-2-13,2770768
9,depolarize,0.185,6,15,50000,7694,13299.586279076524,GPA-2-13,2770790
9,depolarize,0.2,6,15,50000,9959,13268.72183313407,GPA-2-13,2770782
9,depolarize,0.17,6,15,50000,5391,13455.892349199392,GPA-2-13,2770773
9,depolarize,0.19,6,15,50000,8378,13373.668368957005,GPA-2-13,2770776
9,depolarize,0.165,6,15,50000,4820,13542.002021044493,GPA-2-13,2770774
9,depolarize,0.195,6,15,50000,9303,13384.848779620603,GPA-2-13,2770778
9,depolarize,0.17,6,16,50000,5580,13287.247870599851,GPA-2-13,2770785
9,depolarize,0.16,6,16,50000,4220,13405.710881951265,GPA-2-13,2770787
9,depolarize,0.175,6,16,50000,6165,13370.634393703192,GPA-2-13,2770803
9,depolarize,0.19,6,16,50000,8532,13253.968412466347,GPA-2-13,2770788
9,depolarize,0.18,6,14,50000,6855,14157.936037877575,GPA-2-13,2770767
9,depolarize,0.165,6,16,50000,4791,13684.072765070945,GPA-2-13,2770771
9,depolarize,0.185,6,16,50000,7623,13417.97048889473,GPA-2-13,2770780
9,depolarize,0.165,6,17,50000,4771,13257.461512801237,GPA-2-13,2770809
9,depolarize,0.175,6,17,50000,6084,13233.991988956928,GPA-2-13,2770786
9,depolarize,0.17,6,17,50000,5371,13315.632883574814,GPA-2-13,2770794
9,depolarize,0.16,6,17,50000,4161,13388.744934962131,GPA-2-13,2770798
9,depolarize,0.185,6,17,50000,7652,13272.56464300584,GPA-2-13,2770781
9,depolarize,0.18,6,16,50000,6969,13800.08463361673,GPA-2-13,2770769
9,depolarize,0.195,6,16,50000,9249,13640.80779725127,GPA-2-13,2770760
9,depolarize,0.19,6,17,50000,8424,13445.163807021454,GPA-2-13,2770795
9,depolarize,0.2,6,17,50000,10002,13536.812830866314,GPA-2-13,2770796
9,depolarize,0.2,6,16,50000,10064,13926.641859204508,GPA-2-13,2770764
9,depolarize,0.16,6,18,50000,4205,13214.262315322645,GPA-2-13,2770775
9,depolarize,0.16,6,19,50000,4206,13096.084389065392,GPA-2-13,2770807
9,depolarize,0.175,6,18,50000,6255,13180.468620223925,GPA-2-13,2770800
9,depolarize,0.18,6,17,50000,6871,14013.759153786115,GPA-2-13,2770779
9,depolarize,0.17,6,19,50000,5319,13206.117410747334,GPA-2-13,2770802
9,depolarize,0.175,6,19,50000,6088,13189.764246631414,GPA-2-13,2770804
9,depolarize,0.165,6,18,50000,4778,13511.998939998448,GPA-2-13,2770789
9,depolarize,0.175,6,20,50000,6183,13289.954681708477,GPA-2-13,2770806
9,depolarize,0.17,6,18,50000,5447,14175.095795249566,GPA-2-13,2770770
