d,noise_model,noise,chi,shots,fails,error_rate,ci_low,ci_high,reached_nfail,cpu_seconds
25,bit-flip,0.08,6,413500,4792,0.0115889,0.0112672,0.0119197,1,454533.8
25,bit-flip,0.085,6,363500,7962,0.0219037,0.0214329,0.0223846,1,389693.4
25,bit-flip,0.09,6,363500,13581,0.0373618,0.0367501,0.0379832,1,393065.5
25,bit-flip,0.095,6,363500,21453,0.0590179,0.0582564,0.0597887,1,391930.1
25,bit-flip,0.1,6,363500,32300,0.0888583,0.0879377,0.0897877,1,390629.8
25,bit-flip,0.105,6,363500,45442,0.125012,0.123941,0.126092,1,392531.1
25,bit-flip,0.11,6,363500,60157,0.165494,0.164289,0.166705,1,392970.6
25,bit-flip,0.115,6,363500,76184,0.209585,0.208265,0.210911,1,394829.1
25,bit-flip,0.12,6,363500,92755,0.255172,0.253757,0.256592,1,393153.3
