d,noise_model,noise,chi,chunk_id,shots,fails,seconds,host,pid
21,bit-flip,0.115,6,0,500,104,403.25796611991245,GPA-4-5,150875
21,bit-flip,0.12,6,0,500,133,409.19627562595997,GPA-4-5,150869
21,bit-flip,0.1,6,0,500,59,410.45996779901907,GPA-4-5,150860
21,bit-flip,0.095,6,0,500,37,426.483070724993,GPA-4-5,150867
21,bit-flip,0.085,6,0,500,13,430.62655218399595,GPA-4-5,150863
21,bit-flip,0.09,6,0,500,24,432.182350274059,GPA-4-5,150862
21,bit-flip,0.11,6,0,500,84,433.58421252598055,GPA-4-5,150877
21,bit-flip,0.08,6,0,500,10,434.4379888450494,GPA-4-5,150857
21,bit-flip,0.105,6,0,500,67,470.3944661041023,GPA-4-5,150861
21,bit-flip,0.08,6,1,1000,8,829.7022078229347,GPA-4-5,150884
21,bit-flip,0.095,6,1,1000,57,837.8804734719452,GPA-4-5,150885
21,bit-flip,0.115,6,1,1000,176,844.3304427589756,GPA-4-5,150876
21,bit-flip,0.105,6,1,1000,129,855.2122870519524,GPA-4-5,150879
21,bit-flip,0.11,6,1,1000,144,864.1043408539845,GPA-4-5,150870
21,bit-flip,0.085,6,1,1000,36,876.1384298290359,GPA-4-5,150864
21,bit-flip,0.1,6,1,1000,94,877.4054501969367,GPA-4-5,150868
21,bit-flip,0.09,6,1,1000,40,897.4900707710767,GPA-4-5,150872
21,bit-flip,0.12,6,1,1000,251,898.9238645379664,GPA-4-5,150873
21,bit-flip,0.085,6,2,2000,64,1661.80672928493,GPA-4-5,150886
21,bit-flip,0.08,6,2,2000,24,1662.3040270720376,GPA-4-5,150866
21,bit-flip,0.12,6,2,2000,468,1672.0474450230831,GPA-4-5,150890
21,bit-flip,0.11,6,2,2000,301,1693.7196303219534,GPA-4-5,150865
21,bit-flip,0.105,6,2,2000,232,1717.1146478230366,GPA-4-5,150882
21,bit-flip,0.1,6,2,2000,188,1726.5305122799473,GPA-4-5,150880
21,bit-flip,0.09,6,2,2000,99,1779.9093365990557,GPA-4-5,150881
21,bit-flip,0.115,6,2,2000,414,1829.422639828059,GPA-4-5,150871
21,bit-flip,0.095,6,2,2000,120,2025.0227771749487,GPA-4-5,150874
21,bit-flip,0.11,6,3,4000,659,3279.645646141027,GPA-4-5,150892
21,bit-flip,0.095,6,3,4000,301,3331.2496149629587,GPA-4-5,150893
21,bit-flip,0.085,6,3,4000,97,3401.1086400200147,GPA-4-5,150887
21,bit-flip,0.08,6,3,4000,64,3406.5287632449763,GPA-4-5,150883
21,bit-flip,0.09,6,3,4000,172,3407.8525028720032,GPA-4-5,150900
21,bit-flip,0.115,6,3,4000,823,3409.391024311073,GPA-4-5,150896
21,bit-flip,0.1,6,3,4000,378,3499.2679122820264,GPA-4-5,150878
21,bit-flip,0.12,6,3,4000,989,3576.537105708965,GPA-4-5,150891
21,bit-flip,0.105,6,3,4000,525,3579.91657653905,GPA-4-5,150903
21,bit-flip,0.12,6,4,8000,1978,6597.8406437829835,GPA-4-5,150902
21,bit-flip,0.115,6,4,8000,1623,6608.275833121967,GPA-4-5,150889
21,bit-flip,0.105,6,4,8000,1073,6609.621619505924,GPA-4-5,150906
21,bit-flip,0.09,6,4,8000,327,6675.3429767349735,GPA-4-5,150895
21,bit-flip,0.08,6,4,8000,131,6771.741850774037,GPA-4-5,150888
21,bit-flip,0.085,6,4,8000,215,6783.961016185931,GPA-4-5,150894
21,bit-flip,0.1,6,4,8000,767,6921.798060950008,GPA-4-5,150901
21,bit-flip,0.095,6,4,8000,554,6945.1490636901,GPA-4-5,150899
21,bit-flip,0.11,6,4,8000,1348,7179.024734194041,GPA-4-5,150913
21,bit-flip,0.09,6,5,16000,687,13104.564037118922,GPA-4-5,150898
21,bit-flip,0.115,6,5,16000,3277,13410.156805836014,GPA-4-5,150918
21,bit-flip,0.105,6,5,16000,1964,13447.90745661396,GPA-4-5,150914
21,bit-flip,0.11,6,5,16000,2628,13601.031056498992,GPA-4-5,150919
21,bit-flip,0.1,6,5,16000,1506,13616.546768584056,GPA-4-5,150915
21,bit-flip,0.085,6,5,16000,433,13811.508525884012,GPA-4-5,150908
21,bit-flip,0.12,6,5,16000,3887,13824.401505484944,GPA-4-5,150911
21,bit-flip,0.095,6,5,16000,1068,13928.84574545594,GPA-4-5,150897
21,bit-flip,0.08,6,5,16000,283,14606.10174969805,GPA-4-5,150905
21,bit-flip,0.115,6,6,32000,6522,26567.555858233012,GPA-4-5,150909
21,bit-flip,0.12,6,6,32000,8022,26821.409984512953,GPA-4-5,150922
21,bit-flip,0.08,6,6,32000,547,27085.545038209064,GPA-4-5,150907
21,bit-flip,0.085,6,6,32000,855,27275.09198043705,GPA-4-5,150910
21,bit-flip,0.105,6,6,32000,4084,27456.887554190005,GPA-4-5,150912
21,bit-flip,0.09,6,6,32000,1426,27539.365237477003,GPA-4-5,150904
21,bit-flip,0.1,6,6,32000,3002,27564.513170066988,GPA-4-5,150917
21,bit-flip,0.095,6,6,32000,2139,28028.652082816,GPA-4-5,150916
21,bit-flip,0.11,6,6,32000,5167,28406.925987933995,GPA-4-5,150921
21,bit-flip,0.11,6,7,50000,8423,41997.75906521198,GPA-4-5,150862
21,bit-flip,0.12,6,8,50000,12100,41877.40718535404,GPA-4-5,150872
21,bit-flip,0.115,6,8,50000,10288,42079.70797222108,GPA-4-5,150868
21,bit-flip,0.08,6,7,50000,897,43013.12917540909,GPA-4-5,150920
21,bit-flip,0.09,6,7,50000,2268,42629.249781908,GPA-4-5,150869
21,bit-flip,0.095,6,7,50000,3306,42919.86191570095,GPA-4-5,150860
21,bit-flip,0.085,6,8,50000,1415,42613.87865638407,GPA-4-5,150884
21,bit-flip,0.09,6,8,50000,2272,42622.29160695209,GPA-4-5,150885
21,bit-flip,0.095,6,8,50000,3440,42807.938146510045,GPA-4-5,150876
21,bit-flip,0.08,6,8,50000,844,43325.88675798604,GPA-4-5,150861
21,bit-flip,0.09,6,9,50000,2275,42181.86303090991,GPA-4-5,150866
21,bit-flip,0.08,6,9,50000,857,43091.57451490499,GPA-4-5,150873
21,bit-flip,0.1,6,7,50000,4651,43621.920403347,GPA-4-5,150867
