d,noise_model,noise,chi,shots,fails,error_rate,ci_low,ci_high,reached_nfail,cpu_seconds
13,bit-flip,0.08,6,913500,32694,0.0357898,0.0354108,0.0361727,1,252273.1
13,bit-flip,0.085,6,913500,45775,0.0501095,0.049664,0.0505588,1,249726.7
13,bit-flip,0.09,6,763500,51346,0.0672508,0.0666912,0.0678148,1,209023.1
13,bit-flip,0.095,6,663500,57913,0.0872841,0.0866073,0.0879656,1,181605.7
13,bit-flip,0.1,6,663500,73071,0.11013,0.109379,0.110885,1,182963.4
13,bit-flip,0.105,6,563500,76446,0.135663,0.134771,0.136559,1,155233.9
13,bit-flip,0.11,6,613500,99889,0.162818,0.161896,0.163744,1,169496.6
13,bit-flip,0.115,6,613500,117325,0.191239,0.190257,0.192225,1,169932.7
13,bit-flip,0.12,6,613500,135238,0.220437,0.219401,0.221476,1,169764.4
