d,noise_model,noise,chi,chunk_id,shots,fails,seconds,host,pid
9,bit-flip,0.12,6,0,500,105,132.85621650982648,GPA-2-5,2690227
9,bit-flip,0.115,6,0,500,105,133.3665429102257,GPA-2-5,2690237
9,bit-flip,0.095,6,0,500,59,133.8639137884602,GPA-2-5,2690230
9,bit-flip,0.09,6,0,500,38,134.8625615304336,GPA-2-5,2690232
9,bit-flip,0.08,6,0,500,35,135.54814567696303,GPA-2-5,2690233
9,bit-flip,0.105,6,0,500,80,135.6365166073665,GPA-2-5,2690236
9,bit-flip,0.1,6,0,500,58,136.87925671879202,GPA-2-5,2690234
9,bit-flip,0.11,6,0,500,80,140.8964801793918,GPA-2-5,2690239
9,bit-flip,0.085,6,0,500,31,142.43252494651824,GPA-2-5,2690231
9,bit-flip,0.11,6,1,1000,148,263.9390202919021,GPA-2-5,2690249
9,bit-flip,0.09,6,1,1000,94,264.4579888144508,GPA-2-5,2690241
9,bit-flip,0.12,6,1,1000,201,268.23255321383476,GPA-2-5,2690240
9,bit-flip,0.1,6,1,1000,106,269.30779609270394,GPA-2-5,2690253
9,bit-flip,0.115,6,1,1000,177,269.79153148829937,GPA-2-5,2690250
9,bit-flip,0.105,6,1,1000,126,270.8963316716254,GPA-2-5,2690248
9,bit-flip,0.08,6,1,1000,52,275.9825868261978,GPA-2-5,2690235
9,bit-flip,0.095,6,1,1000,104,276.9134682556614,GPA-2-5,2690238
9,bit-flip,0.085,6,1,1000,61,278.4705158919096,GPA-2-5,2690246
9,bit-flip,0.11,6,2,2000,323,523.572297450155,GPA-2-5,2690243
9,bit-flip,0.115,6,2,2000,376,528.0169816855341,GPA-2-5,2690244
9,bit-flip,0.105,6,2,2000,284,529.3240257184952,GPA-2-5,2690254
9,bit-flip,0.12,6,2,2000,427,532.3554928954691,GPA-2-5,2690263
9,bit-flip,0.08,6,2,2000,95,533.2281263824552,GPA-2-5,2690247
9,bit-flip,0.095,6,2,2000,210,533.5177402496338,GPA-2-5,2690259
9,bit-flip,0.09,6,2,2000,161,542.9593456219882,GPA-2-5,2690252
9,bit-flip,0.085,6,2,2000,132,543.6652633203194,GPA-2-5,2690245
9,bit-flip,0.1,6,2,2000,248,548.5434041274711,GPA-2-5,2690251
9,bit-flip,0.12,6,3,4000,854,1037.181013901718,GPA-2-5,2690272
