d,noise_model,noise,chi,shots,fails,error_rate,ci_low,ci_high,reached_nfail,cpu_seconds
17,depolarize,0.16,6,413500,23162,0.0560145,0.0553177,0.0567195,1,533448.4
17,depolarize,0.165,6,363500,25773,0.0709023,0.0700725,0.0717413,1,450527.7
17,depolarize,0.17,6,363500,31871,0.0876781,0.086763,0.0886019,1,449972.2
17,depolarize,0.175,6,363500,39356,0.10827,0.107264,0.109284,1,460390.8
17,depolarize,0.18,6,363500,47288,0.130091,0.129001,0.131188,1,461286.6
17,depolarize,0.185,6,363500,55719,0.153285,0.152117,0.15446,1,467217.2
17,depolarize,0.19,6,363500,64720,0.178047,0.176807,0.179294,1,464449.3
17,depolarize,0.195,6,363500,73461,0.202094,0.200791,0.203402,1,465368.4
17,depolarize,0.2,6,363500,83160,0.228776,0.227413,0.230144,1,471690.2
