d,noise_model,noise,chi,shots,fails,error_rate,ci_low,ci_high,reached_nfail,cpu_seconds
21,depolarize,0.16,6,463500,22359,0.0482395,0.0476263,0.0488601,1,406098.6
21,depolarize,0.165,6,413500,26485,0.0640508,0.0633085,0.0648011,1,356757.7
21,depolarize,0.17,6,413500,34212,0.0827376,0.0819018,0.0835812,1,357418.0
21,depolarize,0.175,6,413500,43411,0.104984,0.104054,0.105922,1,359843.2
21,depolarize,0.18,6,413500,52983,0.128133,0.127118,0.129155,1,359820.7
21,depolarize,0.185,6,413500,64299,0.155499,0.154398,0.156607,1,360963.0
21,depolarize,0.19,6,413500,76317,0.184563,0.183384,0.185749,1,361901.6
21,depolarize,0.195,6,413500,88567,0.214189,0.212941,0.215442,1,363853.7
21,depolarize,0.2,6,413500,100359,0.242706,0.241402,0.244015,1,363932.6
