d,noise_model,noise,chi,chunk_id,shots,fails,seconds,host,pid
13,bit-flip,0.12,6,0,500,110,134.90051460708492,GPA-4-9,1747893
13,bit-flip,0.08,6,0,500,19,135.51634672505315,GPA-4-9,1747889
13,bit-flip,0.115,6,0,500,102,135.6887413080549,GPA-4-9,1747903
13,bit-flip,0.095,6,0,500,55,136.6612807760248,GPA-4-9,1747898
13,bit-flip,0.11,6,0,500,70,137.1072297260398,GPA-4-9,1747892
13,bit-flip,0.085,6,0,500,36,137.18148569006007,GPA-4-9,1747895
13,bit-flip,0.09,6,0,500,36,137.5530111680273,GPA-4-9,1747894
13,bit-flip,0.105,6,0,500,67,138.3591445919592,GPA-4-9,1747901
13,bit-flip,0.1,6,0,500,56,140.07477153697982,GPA-4-9,1747896
13,bit-flip,0.085,6,1,1000,44,269.89479385502636,GPA-4-9,1747921
13,bit-flip,0.105,6,1,1000,142,270.4059816249646,GPA-4-9,1747916
13,bit-flip,0.12,6,1,1000,186,271.2795873080613,GPA-4-9,1747917
13,bit-flip,0.08,6,1,1000,31,272.36417930503376,GPA-4-9,1747897
13,bit-flip,0.1,6,1,1000,111,273.4182096889708,GPA-4-9,1747908
13,bit-flip,0.095,6,1,1000,101,274.5400074890349,GPA-4-9,1747910
13,bit-flip,0.115,6,1,1000,186,274.9810610320419,GPA-4-9,1747905
13,bit-flip,0.09,6,1,1000,51,275.8192827269668,GPA-4-9,1747902
13,bit-flip,0.11,6,1,1000,179,276.18892638001125,GPA-4-9,1747900
13,bit-flip,0.085,6,2,2000,111,539.4451327539282,GPA-4-9,1747919
13,bit-flip,0.115,6,2,2000,357,545.9074709530687,GPA-4-9,1747912
13,bit-flip,0.12,6,2,2000,438,547.5763897700235,GPA-4-9,1747914
13,bit-flip,0.105,6,2,2000,274,550.6094727850286,GPA-4-9,1747920
13,bit-flip,0.09,6,2,2000,135,551.0364520889707,GPA-4-9,1747911
13,bit-flip,0.11,6,2,2000,334,552.4275043059606,GPA-4-9,1747930
13,bit-flip,0.095,6,2,2000,173,552.5484659980284,GPA-4-9,1747925
13,bit-flip,0.1,6,2,2000,236,558.5610347649781,GPA-4-9,1747915
13,bit-flip,0.08,6,2,2000,71,586.3470876930514,GPA-4-9,1747907
13,bit-flip,0.085,6,3,4000,211,1082.0946308119455,GPA-4-9,1747924
13,bit-flip,0.105,6,3,4000,543,1087.1362075809157,GPA-4-9,1747931
13,bit-flip,0.1,6,3,4000,415,1094.8752315120073,GPA-4-9,1747904
13,bit-flip,0.095,6,3,4000,341,1102.527439726051,GPA-4-9,1747899
13,bit-flip,0.11,6,3,4000,693,1104.231117688003,GPA-4-9,1747909
13,bit-flip,0.115,6,3,4000,805,1112.9358883961104,GPA-4-9,1747922
13,bit-flip,0.12,6,3,4000,893,1124.0114500470227,GPA-4-9,1747928
13,bit-flip,0.08,6,3,4000,142,1137.9658039180795,GPA-4-9,1747918
13,bit-flip,0.09,6,3,4000,274,1140.6499754720135,GPA-4-9,1747906
13,bit-flip,0.105,6,4,8000,1090,2165.9993935460225,GPA-4-9,1747944
13,bit-flip,0.08,6,4,8000,307,2169.018474070006,GPA-4-9,1747913
13,bit-flip,0.1,6,4,8000,886,2170.0915785429534,GPA-4-9,1747934
13,bit-flip,0.11,6,4,8000,1331,2183.819654311985,GPA-4-9,1747929
13,bit-flip,0.115,6,4,8000,1531,2199.435415667016,GPA-4-9,1747935
13,bit-flip,0.095,6,4,8000,708,2212.949430858018,GPA-4-9,1747923
13,bit-flip,0.12,6,4,8000,1758,2219.9864632380195,GPA-4-9,1747940
13,bit-flip,0.085,6,4,8000,429,2223.400483291014,GPA-4-9,1747938
13,bit-flip,0.09,6,4,8000,543,2244.4325821140083,GPA-4-9,1747926
13,bit-flip,0.09,6,5,16000,1116,4322.387200129917,GPA-4-9,1747937
13,bit-flip,0.095,6,5,16000,1453,4327.433543510968,GPA-4-9,1747939
13,bit-flip,0.12,6,5,16000,3529,4354.972937142942,GPA-4-9,1747927
13,bit-flip,0.105,6,5,16000,2200,4356.617742301081,GPA-4-9,1747943
13,bit-flip,0.08,6,5,16000,525,4364.28393385699,GPA-4-9,1747951
13,bit-flip,0.085,6,5,16000,787,4369.182956501958,GPA-4-9,1747932
13,bit-flip,0.115,6,5,16000,3014,4471.059358043945,GPA-4-9,1747946
13,bit-flip,0.1,6,5,16000,1765,4523.911792316008,GPA-4-9,1747941
13,bit-flip,0.11,6,5,16000,2593,4575.25737417303,GPA-4-9,1747952
13,bit-flip,0.105,6,6,32000,4303,8684.635963600012,GPA-4-9,1747950
13,bit-flip,0.11,6,6,32000,5198,8738.751691156998,GPA-4-9,1747945
13,bit-flip,0.095,6,6,32000,2792,8765.693589519942,GPA-4-9,1747933
13,bit-flip,0.08,6,6,32000,1157,8765.74899070803,GPA-4-9,1747948
13,bit-flip,0.115,6,6,32000,6162,8783.741913356935,GPA-4-9,1747949
13,bit-flip,0.12,6,6,32000,7045,8843.570982791949,GPA-4-9,1747953
13,bit-flip,0.09,6,6,32000,2145,8881.148113121977,GPA-4-9,1747936
13,bit-flip,0.085,6,6,32000,1587,8908.658608612022,GPA-4-9,1747947
13,bit-flip,0.1,6,6,32000,3482,9160.06407514494,GPA-4-9,1747942
13,bit-flip,0.09,6,7,50000,3349,13527.695494271931,GPA-4-9,1747889
13,bit-flip,0.085,6,7,50000,2479,13629.988763016998,GPA-4-9,1747893
13,bit-flip,0.11,6,7,50000,8212,13648.1664629929,GPA-4-9,1747895
