d,noise_model,noise,chi,chunk_id,shots,fails,seconds,host,pid
13,depolarize,0.2,6,0,500,108,167.47927666199394,GPA-4-9,1937037
13,depolarize,0.17,6,0,500,55,169.72149841790088,GPA-4-9,1937029
13,depolarize,0.185,6,0,500,71,171.4841521019116,GPA-4-9,1937042
13,depolarize,0.175,6,0,500,64,172.22216740902513,GPA-4-9,1937040
13,depolarize,0.18,6,0,500,65,172.43801842001267,GPA-4-9,1937036
13,depolarize,0.19,6,0,500,89,176.39339428499807,GPA-4-9,1937035
13,depolarize,0.16,6,0,500,47,176.46329720690846,GPA-4-9,1937033
13,depolarize,0.195,6,0,500,94,179.78897665708791,GPA-4-9,1937046
13,depolarize,0.165,6,0,500,57,181.56444735103287,GPA-4-9,1937034
13,depolarize,0.195,6,1,1000,170,337.84543687291443,GPA-4-9,1937044
13,depolarize,0.18,6,1,1000,129,341.11129765596706,GPA-4-9,1937039
13,depolarize,0.16,6,1,1000,65,341.43966398306657,GPA-4-9,1937045
13,depolarize,0.17,6,1,1000,96,341.90695110394154,GPA-4-9,1937050
13,depolarize,0.185,6,1,1000,153,348.14721584599465,GPA-4-9,1937048
13,depolarize,0.175,6,1,1000,133,351.74077345302794,GPA-4-9,1937032
13,depolarize,0.165,6,1,1000,85,355.72127596708015,GPA-4-9,1937052
13,depolarize,0.19,6,1,1000,165,407.4328151770169,GPA-4-9,1937038
13,depolarize,0.2,6,1,1000,205,414.02049929101486,GPA-4-9,1937041
13,depolarize,0.2,6,2,2000,462,666.5320922610117,GPA-4-9,1937058
13,depolarize,0.165,6,2,2000,162,670.8280571360374,GPA-4-9,1937047
13,depolarize,0.175,6,2,2000,231,676.4237777470844,GPA-4-9,1937059
13,depolarize,0.16,6,2,2000,145,681.2882909630425,GPA-4-9,1937049
13,depolarize,0.19,6,2,2000,310,684.0681007340318,GPA-4-9,1937043
13,depolarize,0.17,6,2,2000,195,687.0975033439463,GPA-4-9,1937055
13,depolarize,0.18,6,2,2000,269,738.8210940439021,GPA-4-9,1937054
13,depolarize,0.185,6,2,2000,310,822.1552905039862,GPA-4-9,1937051
13,depolarize,0.195,6,2,2000,384,1037.9202391660074,GPA-4-9,1937053
13,depolarize,0.175,6,3,4000,423,1351.5861028709915,GPA-4-9,1937063
13,depolarize,0.16,6,3,4000,272,1363.2332616070053,GPA-4-9,1937056
13,depolarize,0.195,6,3,4000,791,1372.8134715149645,GPA-4-9,1937078
13,depolarize,0.17,6,3,4000,404,1374.121420464944,GPA-4-9,1937076
13,depolarize,0.19,6,3,4000,716,1388.4192370210076,GPA-4-9,1937057
13,depolarize,0.18,6,3,4000,520,1395.8182507710299,GPA-4-9,1937068
