d,noise_model,noise,chi,chunk_id,shots,fails,seconds,host,pid
17,bit-flip,0.085,6,0,500,16,583.4659950709902,GPA-2-7,90803
17,bit-flip,0.095,6,0,500,41,583.8871087231673,GPA-2-7,90806
17,bit-flip,0.09,6,0,500,33,584.122469486203,GPA-2-7,90809
17,bit-flip,0.08,6,0,500,12,584.1393578606658,GPA-2-7,90804
17,bit-flip,0.12,6,0,500,107,584.9442358999513,GPA-2-7,90799
17,bit-flip,0.11,6,0,500,92,588.4052999131382,GPA-2-7,90807
17,bit-flip,0.115,6,0,500,88,603.6508097071201,GPA-2-7,90808
17,bit-flip,0.1,6,0,500,54,609.5897316341288,GPA-2-7,90795
17,bit-flip,0.105,6,0,500,73,611.3275426379405,GPA-2-7,90802
17,bit-flip,0.09,6,1,1000,60,1146.9190726811066,GPA-2-7,90805
17,bit-flip,0.085,6,1,1000,40,1160.9003815092146,GPA-2-7,90798
17,bit-flip,0.095,6,1,1000,67,1165.3617466096766,GPA-2-7,90813
17,bit-flip,0.1,6,1,1000,102,1170.1911550848745,GPA-2-7,90811
17,bit-flip,0.12,6,1,1000,239,1175.9726083897986,GPA-2-7,90816
17,bit-flip,0.115,6,1,1000,203,1185.2694394458085,GPA-2-7,90817
17,bit-flip,0.11,6,1,1000,154,1216.2471611443907,GPA-2-7,90814
17,bit-flip,0.08,6,1,1000,23,1226.5826314538717,GPA-2-7,90801
17,bit-flip,0.105,6,1,1000,142,1231.6479361341335,GPA-2-7,90818
17,bit-flip,0.085,6,2,2000,79,2313.9751806380227,GPA-2-7,90810
17,bit-flip,0.08,6,2,2000,38,2319.8420787779614,GPA-2-7,90825
17,bit-flip,0.12,6,2,2000,460,2355.871843081899,GPA-2-7,90826
17,bit-flip,0.09,6,2,2000,102,2366.932807187084,GPA-2-7,90822
17,bit-flip,0.095,6,2,2000,161,2367.543076687958,GPA-2-7,90812
17,bit-flip,0.115,6,2,2000,399,2385.813125554938,GPA-2-7,90824
17,bit-flip,0.1,6,2,2000,218,2441.059752926696,GPA-2-7,90821
17,bit-flip,0.105,6,2,2000,278,2449.215108849108,GPA-2-7,90800
17,bit-flip,0.11,6,2,2000,322,2463.171187783126,GPA-2-7,90841
17,bit-flip,0.085,6,3,4000,152,4685.114458895288,GPA-2-7,90819
17,bit-flip,0.105,6,3,4000,525,4689.231735728215,GPA-2-7,90815
17,bit-flip,0.08,6,3,4000,98,4706.184697974008,GPA-2-7,90831
17,bit-flip,0.095,6,3,4000,324,4710.835155442823,GPA-2-7,90842
17,bit-flip,0.09,6,3,4000,207,4726.583203501999,GPA-2-7,90839
17,bit-flip,0.1,6,3,4000,383,4749.937313497998,GPA-2-7,90833
17,bit-flip,0.11,6,3,4000,679,4870.231818090193,GPA-2-7,90832
17,bit-flip,0.12,6,3,4000,911,5109.911530487239,GPA-2-7,90820
17,bit-flip,0.115,6,3,4000,764,5207.826960406732,GPA-2-7,90836
17,bit-flip,0.105,6,4,8000,1028,9365.932597068138,GPA-2-7,90827
17,bit-flip,0.11,6,4,8000,1309,9545.734489978757,GPA-2-7,90838
17,bit-flip,0.085,6,4,8000,297,9740.303528951947,GPA-2-7,90834
17,bit-flip,0.12,6,4,8000,1826,9913.358226237353,GPA-2-7,90843
17,bit-flip,0.08,6,4,8000,196,9991.770508246962,GPA-2-7,90845
17,bit-flip,0.1,6,4,8000,850,10111.29372253595,GPA-2-7,90840
17,bit-flip,0.09,6,4,8000,452,10362.186022650916,GPA-2-7,90830
17,bit-flip,0.115,6,4,8000,1576,10421.097005746793,GPA-2-7,90847
17,bit-flip,0.095,6,4,8000,621,10458.932958428748,GPA-2-7,90823
17,bit-flip,0.08,6,5,16000,428,19136.803603990935,GPA-2-7,90844
17,bit-flip,0.1,6,5,16000,1632,19160.894409556873,GPA-2-7,90851
17,bit-flip,0.12,6,5,16000,3660,19310.909512380604,GPA-2-7,90828
17,bit-flip,0.11,6,5,16000,2575,19343.477120043244,GPA-2-7,90849
17,bit-flip,0.095,6,5,16000,1213,19362.759808320086,GPA-2-7,90852
